Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Frontier","Krale","Frontier","Favoritas","Playlist","GB2LD0901819","4hQZtOZWZKQ0OOMG2dEY8e"
"Time Is Running Out","Apollo 440","Dude Descending A Staircase","Favoritas","Playlist","GBBBN0300207","1D2j6pnnMigomGUx1qgukh"
"Stop the Rock","Apollo 440","Gettin' High On Your Own Supply","Favoritas","Playlist","GBBBM9902102","37jrubWAb4F9TY2GgSRG56"
"New Future Weapon","Billy Idol","Idolize Yourself: The Very Best Of Billy Idol","Favoritas","Playlist","USCA20803006","7cQigvdJ20z6SWIObqaasa"
"Maniac","Firewind","The Premonition","Favoritas","Playlist","US4E40844810","2fLXgNuhqugprkOOpAqRHs"
"In the Shadows","The Rasmus","Dead Letters","Favoritas","Playlist","SEVJH0201601","1fr92Vupmcs2vgLMFVQ7rd"
"Caught in the Middle","Nemesea","The Quiet Resistance","Favoritas","Playlist","ATN261138502","0jxYrR78Nz27X4Z9f8fxF3"
"Champion Sound (From ""Assassin's Creed Syndicate"")","ill Factor","Champion Sound (From ""Assassin's Creed Syndicate"") - Single","Favoritas","Playlist","CA2BN1501590","3hCa7ITohBJ6yUZe9VXI5M"
"Chin Up","Michael Woods","Chin Up","Favoritas","Playlist","NLF711503300","2KxC2FpQMuddyCBoRYWfx8"
"Adagio For Strings","Tiësto","Just Be","Favoritas","Playlist","NLE710480320","3dSwVSB6aFqXThG1c53GSq"
"Apollo Road (with ATB)","Dash Berlin","Music Is Life","Favoritas","Playlist","PLB381200404","2NFEUeUKaJ0EBUoCNdZpza"
"Blood Is Pumping","Voodoo & Serano","Dark Trance Vs. Neo-Goth","Favoritas","Playlist","USA370521687","0RqYFlUvMjCfNG9oP2KVuT"
"What I've Done","Linkin Park","Minutes to Midnight","Favoritas","Playlist","USWB10700721","18lR4BzEs7e3qzc0KVkTpU"
"Gerudo Valley (dj-Jo Remix)","dj-Jo","Gerudo Valley (dj-Jo Remix)","Favoritas","Playlist","USE830923530","2TmKpa7JgDYjutdnfsFHMv"
"I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit","Avicii","I Could Be The One [Avicii vs Nicky Romero]","Favoritas","Playlist","SEUM71201601","1sh6lL6cmlcwhqZKGiKBua"
